ten,ma,ghi_chu
Phường 7,24769,Thành phố Đà Lạt
Phường 8,24772,Thành phố Đà Lạt
Phường 12,24775,Thành phố Đà Lạt
Phường 9,24778,Thành phố Đà Lạt
Phường 2,24781,Thành phố Đà Lạt
Phường 1,24784,Thành phố Đà Lạt
Phường 6,24787,Thành phố Đà Lạt
Phường 5,24790,Thành phố Đà Lạt
Phường 4,24793,Thành phố Đà Lạt
Phường 10,24796,Thành phố Đà Lạt
Phường 11,24799,Thành phố Đà Lạt
Phường 3,24802,Thành phố Đà Lạt
Xã Xuân Thọ,24805,Thành phố Đà Lạt
Xã Tà Nung,24808,Thành phố Đà Lạt
Xã Trạm Hành,24810,Thành phố Đà Lạt
Xã Xuân Trường,24811,Thành phố Đà Lạt
Phường Lộc Phát,24814,Thành phố Bảo Lộc
Phường Lộc Tiến,24817,Thành phố Bảo Lộc
Phường 2,24820,Thành phố Bảo Lộc
Phường 1,24823,Thành phố Bảo Lộc
Phường B'lao,24826,Thành phố Bảo Lộc
Phường Lộc Sơn,24829,Thành phố Bảo Lộc
Xã Đạm Bri,24832,Thành phố Bảo Lộc
Xã Lộc Thanh,24835,Thành phố Bảo Lộc
Xã Lộc Nga,24838,Thành phố Bảo Lộc
Xã Lộc Châu,24841,Thành phố Bảo Lộc
Xã Đại Lào,24844,Thành phố Bảo Lộc
Xã Đạ Tông,24853,Huyện Đam Rông
Xã Đạ Long,24856,Huyện Đam Rông
Xã Đạ M' Rong,24859,Huyện Đam Rông
Xã Liêng Srônh,24874,Huyện Đam Rông
Xã Đạ Rsal,24875,Huyện Đam Rông
Xã Rô Men,24877,Huyện Đam Rông
Xã Phi Liêng,24886,Huyện Đam Rông
Xã Đạ K' Nàng,24889,Huyện Đam Rông
Thị trấn Lạc Dương,24846,Huyện Lạc Dương
Xã Đạ Chais,24847,Huyện Lạc Dương
Xã Đạ Nhim,24848,Huyện Lạc Dương
Xã Đưng KNớ,24850,Huyện Lạc Dương
Xã Lát,24862,Huyện Lạc Dương
Xã Đạ Sar,24865,Huyện Lạc Dương
Thị trấn Nam Ban,24868,Huyện Lâm Hà
Thị trấn Đinh Văn,24871,Huyện Lâm Hà
Xã Phú Sơn,24880,Huyện Lâm Hà
Xã Phi Tô,24883,Huyện Lâm Hà
Xã Mê Linh,24892,Huyện Lâm Hà
Xã Đạ Đờn,24895,Huyện Lâm Hà
Xã Phúc Thọ,24898,Huyện Lâm Hà
Xã Đông Thanh,24901,Huyện Lâm Hà
Xã Gia Lâm,24904,Huyện Lâm Hà
Xã Tân Thanh,24907,Huyện Lâm Hà
Xã Tân Văn,24910,Huyện Lâm Hà
Xã Hoài Đức,24913,Huyện Lâm Hà
Xã Tân Hà,24916,Huyện Lâm Hà
Xã Liên Hà,24919,Huyện Lâm Hà
Xã Đan Phượng,24922,Huyện Lâm Hà
Xã Nam Hà,24925,Huyện Lâm Hà
Thị trấn D'Ran,24928,Huyện Đơn Dương
Thị trấn Thạnh Mỹ,24931,Huyện Đơn Dương
Xã Lạc Xuân,24934,Huyện Đơn Dương
Xã Đạ Ròn,24937,Huyện Đơn Dương
Xã Lạc Lâm,24940,Huyện Đơn Dương
Xã Ka Đô,24943,Huyện Đơn Dương
Xã Ka Đơn,24949,Huyện Đơn Dương
Xã Tu Tra,24952,Huyện Đơn Dương
Xã Quảng Lập,24955,Huyện Đơn Dương
