"Ma","Ten","Loai","GhiChu"
"6A","6A","lop","2025"
"6B","6B","lop","2025"
"7A","7A","lop","2025"
"7B","7B","lop","2025"
"8A","8A","lop","2025"
"8B","8B","lop","2025"
"9A","9A","lop","2025"
"9B","9B","lop","2025"
"10A","10A","lop","2025"
"10B1","10B1","lop","2025"
"10B2","10B2","lop","2025"
"10C1","10C1","lop","2025"
"10C2","10C2","lop","2025"
"11A","11A","lop","2025"
"11B","11B","lop","2025"
"11C1","11C1","lop","2025"
"11C2","11C2","lop","2025"
"11C3","11C3","lop","2025"
"12A","12A","lop","2025"
"12B","12B","lop","2025"
"12C1","12C1","lop","2025"
"12C2","12C2","lop","2025"
"12C3","12C3","lop","2025"
